student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0073,Brian Farrell,[CS101,CS54,CS51,CS62],[CS158,CS153],2028,CS minor
S0074,Cameron Campbell,[CS140,CS51,CS62,CS105,CS54],[CS158],2028,CS major
S0075,Michelle Chavez,[CS101,CS54,CS51,CS62],[CS133],2025,Non-major
S0076,Anna Henderson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0077,Barbara Daniels,[CS140,CS51,CS62,CS105,CS54],[],2025,Non-major
S0078,Michael Willis,[CS54,CS51],[CS138],2028,Non-major
S0079,Diana Alvarado,[CS51,CS62],[],2027,CS minor
S0080,Stanley Greer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS158],2027,Non-major
S0081,Sara Grant,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0082,Morgan Larson,[],[CS140,CS122],2026,Non-major
S0083,Kristin Townsend,[CS140,CS51,CS62,CS101,CS54],[],2026,CS major
S0084,Mary Noble,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS133],2028,CS major
S0085,Elizabeth Stephenson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0086,Theresa Hernandez,[],[CS158],2026,CS minor
S0087,Dana Garza,[CS101,CS54,CS51,CS62],[],2025,CS major
S0088,Jordan Guerrero,[CS101,CS54,CS51,CS62],[CS181AA],2027,CS major
S0089,Jennifer Martinez,[CS101,CS54,CS51,CS62],[CS158],2025,CS major
S0090,John Thomas,[CS51,CS62,CS105,CS101,CS54],[CS105],2026,CS minor
S0091,Brandon Miller,[CS51,CS62,CS105,CS101,CS54],[CS181DV,CS133],2026,CS major
S0092,Jason Greer,[CS140,CS51,CS62,CS101,CS54],[CS158,CS153],2027,CS minor
S0093,Tamara Ward,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2026,CS minor
S0094,Michael Mclean,[CS101,CS54,CS51,CS62],[],2028,CS minor
S0095,Cheryl Spears,[CS51,CS62,CS105,CS101,CS54],[CS181AA],2027,CS minor
S0096,Patrick Cohen,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS133],2027,CS major
S0097,Mary Richmond,[],[],2025,CS major
S0098,Jonathon Wagner,[CS140,CS51,CS62,CS101,CS54],[CS132],2026,CS minor
S0099,Dawn Lucero,[CS54,CS51,CS62,CS105],[CS133,CS138],2028,Non-major
S0100,Rebecca Johnson,[CS51,CS62],[],2028,CS major
S0101,Michael Lane,[CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS major
S0102,Jacob Hodges,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0103,Robert Vazquez,[CS62,CS54,CS51,CS140],[CS105],2025,Non-major
S0104,Monica Nelson,[CS140,CS51,CS62,CS101,CS54],[CS153,CS132],2028,Non-major
S0105,Brian Baker,[CS101,CS54,CS51,CS62],[CS181AA,CS153],2027,CS minor
S0106,Susan Kelly,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0107,Diamond Harper,[CS101,CS54,CS51,CS62],[CS181AA,CS153],2027,Non-major
S0108,Nicole Kramer,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS158],2025,CS major
S0109,George Walter,[CS140,CS51,CS62,CS101,CS54],[CS138],2026,CS major
S0110,Christopher Gutierrez,[CS101,CS54,CS51,CS62],[CS132,CS181AA],2026,CS minor
S0111,Jorge Perry,[CS54,CS51,CS62,CS105],[CS181DV,CS140],2025,CS major
S0112,Raymond Black,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2025,Non-major
S0113,Parker Lucas,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S0114,Dr. Nathan Duffy,[CS51,CS62],[CS122,CS133],2027,CS minor
S0115,Amy Swanson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0116,Ruben Stewart,[],[],2025,CS minor
S0117,Jeffrey Goodwin,[],[CS153,CS181AA],2027,CS minor
S0118,Shari Clements,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2025,Non-major
S0119,Brian Meza,[CS140,CS51,CS62,CS105,CS54],[CS105,CS138],2026,Non-major
S0120,Jamie Levine,[CS54,CS51,CS62,CS140],[],2026,Non-major
S0121,Troy Hill,[CS51,CS62,CS105,CS101,CS54],[CS138],2028,CS minor
S0122,Alexis Griffin,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS140],2028,CS major
S0123,Richard Kelley,[CS140,CS51,CS62,CS105,CS54],[CS140],2025,CS major
S0124,Sheri Mcconnell,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0125,Jacob Duncan,[CS62,CS54,CS51,CS140],[CS101,CS105],2026,CS minor
S0126,Kevin Sanchez,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0127,Mallory Howard,[CS140,CS51,CS62,CS101,CS54],[],2028,Non-major
S0128,William Hebert,[],[CS181DV],2027,Non-major
S0129,Michael Harris,[CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0130,Jacqueline Ray,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS132],2026,CS minor
S0131,Elizabeth Ruiz,[],[CS181AA,CS105],2025,CS major
S0132,Christopher Mosley,[CS140,CS51,CS62,CS105,CS54],[],2026,CS major
S0133,Emma Mitchell,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0134,Charlotte Murphy,[CS140,CS51,CS62,CS101,CS54],[CS153,CS105],2027,CS minor
S0135,David Simmons,[CS51],[CS181AA],2026,CS minor
S0136,April Cruz,[],[CS181AA],2025,Non-major
S0137,Caitlyn Mendez,[CS140,CS51,CS62,CS105,CS54],[CS105,CS138],2028,CS major
S0138,Virginia Zamora,[CS54,CS51],[CS158,CS132],2028,Non-major
S0139,Elizabeth Scott DDS,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0140,Robert Gardner,[CS51,CS62,CS105,CS101,CS54],[CS181DV,CS158],2026,Non-major
S0141,Thomas Nichols,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0142,Kara Schmidt,[CS54,CS51,CS62,CS105],[CS138,CS140],2025,CS minor
S0143,Veronica Graves,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS140],2026,CS minor
S0144,Valerie Griffin,[],[],2028,CS major
S0145,Carlos Bradley,[CS101,CS54,CS51,CS62],[CS181DV,CS133],2028,Non-major
S0146,Angela Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS138],2027,CS minor
S0147,Nancy Clayton,[CS101,CS54,CS51,CS62],[],2028,Non-major
S0148,John Romero,[CS62,CS54,CS51,CS140],[CS132,CS153],2027,Non-major
S0149,Stefanie Watts,[CS140,CS51,CS62,CS105,CS54],[CS105,CS133],2027,Non-major
S0150,Crystal Evans,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS105],2026,Non-major
S0151,Joe Owens,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0152,Lauren Levy,[CS101,CS54,CS51,CS62],[CS133,CS105],2025,CS minor
S0153,Robert Williams,[CS101,CS54,CS51,CS62],[CS181DV],2028,CS minor
S0154,Michael Huff,[],[CS101,CS133],2025,Non-major
S0155,Donald Fields,[CS51],[],2028,CS major
S0156,Richard Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS101],2025,CS major
S0157,Joshua Morris,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS101],2026,CS minor
S0158,Eric Little,[CS101,CS54,CS51,CS62],[CS105,CS158],2025,Non-major
S0159,Mary Schroeder,[CS101,CS54,CS51,CS62],[],2026,Non-major
S0160,Penny Rodriguez,[],[],2028,CS major
S0161,David Bennett,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2025,CS major
S0162,Rachel Lawson,[CS54,CS51,CS62,CS105],[CS105],2027,CS major
S0163,Barry Love,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS138],2027,Non-major
S0164,Lisa Maldonado,[],[CS122],2027,CS major
S0165,Julie Robertson,[CS54,CS51,CS62,CS105],[CS101],2025,CS minor
S0166,David Cole,[],[CS133],2027,Non-major
S0167,Yesenia Allen,[CS62,CS54,CS51,CS140],[CS138],2027,CS minor
S0168,Deborah Lawson,[CS51,CS62],[],2027,CS major
S0169,Nathan Hahn,[CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0170,Emma Prince,[CS101,CS54,CS51,CS62],[],2025,CS minor
S0171,Rebecca Tucker,[CS54,CS51,CS62,CS105],[CS158,CS181AA],2025,CS minor
S0172,Judy Pearson,[CS140,CS51,CS62,CS101,CS54],[CS140,CS153],2028,CS major
S0173,Rachel Thomas,[CS54,CS51],[CS101],2028,Non-major
S0174,Kenneth Bradley,[CS140,CS51,CS62,CS105,CS54],[CS153],2025,Non-major
S0175,Katherine Thomas,[CS62,CS54,CS51,CS140],[CS158,CS133],2027,Non-major
S0176,Lori Molina,[CS51,CS62,CS105,CS101,CS54],[CS132,CS133],2028,Non-major
S0177,Ryan Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS101],2026,CS minor
S0178,Rebecca Webb,[CS101,CS54,CS51,CS62],[CS105,CS133],2028,Non-major
S0179,Cynthia Gallagher MD,[],[CS181AA,CS158],2027,CS major
S0180,Scott Scott,[CS140,CS51,CS62,CS105,CS54],[],2027,CS major
S0181,Michael Duncan,[CS51],[],2026,CS major
S0182,Melissa Ramirez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS181DV],2028,CS major
S0183,Jessica Clark,[CS54,CS51],[CS105],2027,CS minor
S0184,Samantha Hayden,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0185,Donna Hall,[CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0186,Robert Bennett,[CS51,CS62],[],2025,CS minor
S0187,Zachary Taylor,[CS101,CS54,CS51,CS62],[],2027,Non-major
S0188,Brittney Murphy,[CS62,CS54,CS51,CS140],[CS181AA,CS133],2026,CS minor
S0189,Shannon Davis,[CS51],[CS153],2026,Non-major
S0190,Calvin Edwards,[CS62,CS54,CS51,CS140],[CS132,CS181DV],2027,CS major
S0191,Martin Buchanan,[CS140,CS51,CS62,CS105,CS54],[CS140,CS101],2027,CS major
S0192,Jacob Austin,[CS54,CS51,CS62,CS105],[],2026,Non-major
S0193,Thomas Barnes,[],[CS158],2025,CS minor
S0194,Rachel Simmons,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0195,William Clark,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2025,Non-major
S0196,Christopher Sherman,[],[CS181DV],2025,Non-major
S0197,Courtney Schneider,[CS140,CS51,CS62,CS101,CS54],[CS105],2026,CS minor
S0198,Angela Rush,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2025,Non-major
S0199,Haley Quinn,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0200,Ashley Franco,[CS51],[],2026,CS minor
S0201,Eric Lane,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0202,Angela Frazier,[CS51,CS62],[CS181AA,CS158],2028,CS minor
S0203,Jessica Shelton,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0204,Jonathan Novak,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2027,CS major
S0205,Elizabeth Morris,[CS54,CS51,CS62,CS105],[CS181AA,CS122],2026,Non-major
S0206,Andre Young,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0207,Mr. Jeffery Murray,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S0208,Lisa Smith,[CS62,CS54,CS51,CS140],[CS140],2025,Non-major
S0209,Mike Pena,[CS54,CS51,CS62,CS105],[],2028,CS minor
S0210,Sandra Alvarado,[],[],2027,Non-major
S0211,Melissa Kim,[CS51,CS62,CS105,CS101,CS54],[CS158],2027,CS major
S0212,Kristen Gutierrez,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2026,Non-major
S0213,Eric Wood,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS158],2027,CS minor
S0214,Dr. Michael Riley,[CS51,CS62],[CS132],2028,CS major
S0215,Pamela Johnston,[CS140,CS51,CS62,CS101,CS54],[CS132],2026,Non-major
S0216,Andrew Page,[CS54,CS51,CS62,CS105],[],2025,Non-major
S0217,Connor Russell,[CS140,CS51,CS62,CS101,CS54],[CS122,CS105],2027,CS minor
S0218,John Cervantes,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122],2025,Non-major
S0219,Jon Hayes,[CS54,CS51],[CS140,CS132],2026,CS major
S0220,Dennis George,[CS101,CS54,CS51,CS62],[CS140,CS122],2028,CS major
S0221,Lee Lopez,[CS101,CS54,CS51,CS62],[CS158,CS138],2026,Non-major
S0222,Steven Hogan,[CS140,CS51,CS62,CS101,CS54],[CS101],2027,CS minor
S0223,Michael Walls,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2025,CS minor
S0224,Jasmin Smith,[],[],2027,Non-major
S0225,Marie Hansen,[],[CS140],2028,CS major
S0226,Kevin Watts,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0227,Benjamin Rose,[CS140,CS51,CS62,CS105,CS54],[],2025,CS minor
S0228,Laura Chen,[CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0229,Mark Morse,[CS101,CS54,CS51,CS62],[CS122,CS181AA],2025,CS major
S0230,Jasmine Mccarthy,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS181DV],2025,Non-major
S0231,Jessica Taylor,[CS51],[CS105],2025,Non-major
S0232,Laura Clark,[CS140,CS51,CS62,CS101,CS54],[CS105,CS181DV],2026,Non-major
S0233,Ann Jones,[CS140,CS51,CS62,CS101,CS54],[CS158],2025,CS major
S0234,Chad Lee,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS101],2027,CS minor
S0235,James Turner,[],[CS122,CS101],2027,CS minor
S0236,Paul Holmes,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS minor
S0237,Casey Padilla,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS138],2028,Non-major
S0238,Eric Maldonado,[],[CS101],2025,Non-major
S0239,Loretta Jones,[CS54,CS51,CS62],[CS153],2028,CS major
S0240,James Gonzales,[CS101,CS54,CS51,CS62],[],2028,Non-major
S0241,Jenna Russell,[CS51,CS62,CS105,CS101,CS54],[CS158,CS181DV],2026,Non-major
S0242,Nicole Lane,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2025,CS minor
S0243,Spencer Ferguson,[CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS major
S0244,Bradley Garcia,[],[CS122],2025,CS major
S0245,Kelly Brown,[CS101,CS54,CS51,CS62],[],2028,Non-major
S0246,Laura Ortiz,[CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0247,Teresa Hughes,[CS101,CS54,CS51,CS62],[],2026,Non-major
S0248,William Simon,[CS54,CS140,CS51,CS62],[],2028,CS major
S0249,Alicia Mccormick,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS181AA],2025,Non-major
S0250,Elizabeth Lee,[],[CS133],2028,Non-major
S0251,James Brown,[CS54,CS51,CS62,CS105],[CS181AA,CS140],2028,Non-major
S0252,Beth Allen,[CS140,CS51,CS62,CS101,CS54],[CS101,CS138],2028,Non-major
S0253,Laurie Roberson,[CS51,CS62],[CS138],2025,Non-major
S0254,Sarah Blackwell,[CS101,CS54,CS51,CS62],[CS140,CS181DV],2028,Non-major
S0255,Kristen Perez,[],[],2026,CS minor
S0256,Alexis Durham,[CS51],[CS181DV],2026,CS minor
S0257,James Scott,[CS62,CS54,CS51,CS140],[],2028,CS minor
S0258,Dawn Harris,[CS101,CS54,CS51,CS62],[CS153],2025,CS major
S0259,Kelly Lopez,[CS54,CS51],[CS181AA,CS132],2028,CS minor
S0260,Ellen Hernandez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2025,Non-major
S0261,Danielle Kemp,[CS51,CS62,CS105,CS101,CS54],[CS158,CS132],2026,Non-major
S0262,Michael Osborn,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2026,CS major
S0263,Sarah Hall DDS,[CS54,CS51,CS62,CS105],[CS122],2025,CS major
S0264,Nicholas Cordova,[CS54,CS51],[CS105],2028,CS minor
S0265,Alejandro Barnes,[],[],2027,CS minor
S0266,Kimberly Gross,[],[CS140],2028,CS major
S0267,Kathryn Giles,[CS51,CS62,CS105,CS101,CS54],[CS153,CS158],2028,CS major
S0268,Jill Mcintosh,[],[],2028,CS major
S0269,Emily Mitchell,[],[],2025,Non-major
S0270,John Gordon,[CS140,CS51,CS62,CS101,CS54],[CS153],2027,CS minor
S0271,Paul Campbell,[CS51,CS62,CS105,CS101,CS54],[CS138],2026,CS minor
S0272,Debra Espinoza,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2028,Non-major
S0273,Crystal Bell,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0274,Alicia Tran DDS,[CS62,CS54,CS51,CS140],[CS158,CS140],2027,Non-major
S0275,Dorothy Jackson,[CS140,CS51,CS62,CS105,CS54],[CS140,CS181DV],2028,CS major
S0276,Martin Kennedy,[CS140,CS51,CS62,CS105,CS54],[CS105,CS122],2026,CS minor
S0277,Mrs. Cheryl Johnson,[CS51,CS62,CS105,CS101,CS54],[CS181AA,CS140],2026,CS major
S0278,Jeffrey Houston,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS181DV],2026,Non-major
S0279,Kenneth Lawrence MD,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS122],2027,CS minor
S0280,Ashley Scott,[CS54,CS51,CS62,CS105],[CS133],2025,CS major
S0281,Nicole Mccall,[CS140,CS51,CS62,CS105,CS54],[CS181DV,CS153],2025,CS major
S0282,Casey Hill,[CS140,CS51,CS62,CS105,CS54],[CS181DV],2026,Non-major
S0283,Sherry Rivera,[CS62,CS54,CS51,CS140],[CS181DV,CS153],2026,CS minor
S0284,Angela Cummings,[CS62,CS54,CS51,CS140],[CS140,CS133],2026,CS major
S0285,Adrian Gardner,[CS54,CS51],[CS153],2026,Non-major
S0286,Peter Gibson,[CS54,CS51,CS62,CS105],[CS158],2028,Non-major
S0287,Randy Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2025,CS major
S0288,Heidi Henson,[],[CS181AA,CS153],2027,CS major
S0289,Jeffery Small,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2026,Non-major
S0290,James Brown,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS133],2025,CS minor
S0291,William Koch,[CS51],[CS153],2026,CS major
S0292,Matthew Thompson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2027,CS minor
S0293,Kenneth Smith,[CS54,CS51],[],2025,Non-major
S0294,Tamara Bird,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0295,Timothy Blair Jr.,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2027,CS major
S0296,Jason Villarreal,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS153],2025,CS major
S0297,Elizabeth Harris,[CS54,CS51],[CS133,CS181DV],2028,Non-major
S0298,Nathan Sawyer,[],[],2027,Non-major
S0299,Elizabeth Boyd,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S0300,Patrick Ford,[CS140,CS51,CS62,CS105,CS54],[CS181AA,CS153],2026,Non-major
S0301,Timothy Trevino,[CS54,CS51,CS62],[CS153,CS132],2028,CS major
S0302,Howard Jones,[],[CS181AA],2026,CS major
S0303,Rachel Moore,[],[CS122,CS181DV],2027,CS major
S0304,Victoria Snyder,[CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0305,Samantha Mooney,[CS54,CS51,CS62,CS105],[CS105],2026,CS major
S0306,Elizabeth Lambert,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0307,Kimberly Callahan,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0308,Justin Smith,[CS140,CS51,CS62,CS101,CS54],[],2028,CS major
S0309,William Lopez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS158],2028,Non-major
S0310,Mr. William Potter DDS,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2026,Non-major
S0311,Edward Simpson,[CS54,CS51,CS62,CS105],[],2027,CS minor
S0312,Joyce Hansen,[],[CS122],2028,CS minor
S0313,Ms. Kayla Good,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS133],2026,CS major
S0314,Jennifer Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS122],2026,Non-major
S0315,Alan Shaw,[CS54,CS140,CS51,CS62],[CS181DV,CS133],2025,CS major
S0316,Kenneth Ward,[CS140,CS51,CS62,CS101,CS54],[],2026,Non-major
S0317,Sarah Davis,[],[CS181AA],2027,CS major
S0318,Valerie Chaney,[],[CS158,CS140],2028,CS minor
S0319,Diana Villegas,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2026,CS major
S0320,Lisa Bean,[CS54,CS51,CS62,CS105],[CS181DV],2025,CS minor
